"Population by Educational Attainment","Number"
"Beginners",""
"Female","139"
"Male","126"
"Graduate and Equivalent",""
"Female","5"
"Male","8"
"Intermediate and Equivalent",""
"Female","19"
"Male","44"
"Level not Stated",""
"Female","6"
"Male","0"
"Lower Secondary (Class 6-8)",""
"Female","54"
"Male","113"
"Non Formal Education",""
"Female","89"
"Male","159"
"Others",""
"Female","9"
"Male","29"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","2"
"Primary Education (1-5 Class)",""
"Female","498"
"Male","751"
"Secondary Level (Class 9-10)",""
"Female","19"
"Male","61"
"SLC and Equivalent",""
"Female","11"
"Male","66"
