"Population by disability type","Number"
"Blind/low vision",""
"Female","21"
"Male","18"
"","39"
"Deaf/hard of hearing",""
"Female","10"
"Male","14"
"","24"
"Deaf-Blind",""
"Female","2"
"Male","3"
"","5"
"Intellectual disable",""
"Female","1"
"Male","4"
"","5"
"Mental disable",""
"Female","4"
"Male","9"
"","13"
"Multiple disable",""
"Female","6"
"Male","6"
"","12"
"No disability",""
"Female","14234"
"Male","14076"
"","28310"
"Physical",""
"Female","37"
"Male","60"
"","97"
"Speech problem",""
"Female","12"
"Male","25"
"","37"
