"Industries Employment","Number"
"Accommodation,  food",""
"Female","443"
"Male","468"
"Administrative, support service",""
"Female","0"
"Male","0"
"Agriculture, forestry and  fishing",""
"Female","40"
"Male","81"
"Arts, entertainment, recreation",""
"Female","0"
"Male","0"
"Construction",""
"Female","0"
"Male","4"
"Education",""
"Female","260"
"Male","734"
"Electricity, gas and water",""
"Female","1"
"Male","25"
"Financial intermediation and insurance",""
"Female","703"
"Male","242"
"Health, social work",""
"Female","362"
"Male","180"
"Information and communication",""
"Female","2"
"Male","18"
"Manufacturing",""
"Female","55"
"Male","146"
"Other service activities",""
"Female","420"
"Male","248"
"Professional, scientific, techniqual activity",""
"Female","1"
"Male","3"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","2"
"Male","37"
"Water supply, wet management",""
"Female","1"
"Male","9"
"Wholesale, retail trade",""
"Female","599"
"Male","762"
