"Population by Educational Attainment","Number"
"Beginners",""
"Female","524"
"Male","536"
"Graduate and Equivalent",""
"Female","16"
"Male","56"
"Intermediate and Equivalent",""
"Female","116"
"Male","121"
"Level not Stated",""
"Female","37"
"Male","28"
"Lower Secondary (Class 6-8)",""
"Female","1547"
"Male","1255"
"Non Formal Education",""
"Female","487"
"Male","301"
"Others",""
"Female","1"
"Male","5"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","12"
"Primary Education (1-5 Class)",""
"Female","3753"
"Male","3715"
"Secondary Level (Class 9-10)",""
"Female","469"
"Male","567"
"SLC and Equivalent",""
"Female","398"
"Male","339"
