"Population by disability type","Number"
"Blind/low vision",""
"Female","30"
"Male","34"
"","64"
"Deaf/hard of hearing",""
"Female","22"
"Male","26"
"","48"
"Deaf-Blind",""
"Female","2"
"Male","3"
"","5"
"Intellectual disable",""
"Female","1"
"Male","6"
"","7"
"Mental disable",""
"Female","6"
"Male","4"
"","10"
"Multiple disable",""
"Female","13"
"Male","10"
"","23"
"No disability",""
"Female","8112"
"Male","7432"
"","15544"
"Physical",""
"Female","57"
"Male","91"
"","148"
"Speech problem",""
"Female","7"
"Male","18"
"","25"
