"Population by Single Year of Age","Number"
"0",""
"Female","252"
"Male","299"
"1",""
"Female","259"
"Male","262"
"10",""
"Female","497"
"Male","511"
"11",""
"Female","435"
"Male","427"
"12",""
"Female","526"
"Male","505"
"13",""
"Female","460"
"Male","468"
"14",""
"Female","497"
"Male","493"
"15",""
"Female","450"
"Male","438"
"16",""
"Female","430"
"Male","432"
"17",""
"Female","451"
"Male","375"
"18",""
"Female","455"
"Male","450"
"19",""
"Female","336"
"Male","261"
"2",""
"Female","303"
"Male","297"
"20",""
"Female","435"
"Male","323"
"21",""
"Female","296"
"Male","223"
"22",""
"Female","425"
"Male","286"
"23",""
"Female","338"
"Male","224"
"24",""
"Female","301"
"Male","254"
"25",""
"Female","402"
"Male","326"
"26",""
"Female","305"
"Male","218"
"27",""
"Female","265"
"Male","239"
"28",""
"Female","329"
"Male","270"
"29",""
"Female","188"
"Male","145"
"3",""
"Female","325"
"Male","317"
"30",""
"Female","476"
"Male","352"
"31",""
"Female","162"
"Male","129"
"32",""
"Female","317"
"Male","250"
"33",""
"Female","175"
"Male","152"
"34",""
"Female","179"
"Male","146"
"35",""
"Female","465"
"Male","365"
"36",""
"Female","191"
"Male","213"
"37",""
"Female","160"
"Male","129"
"38",""
"Female","224"
"Male","257"
"39",""
"Female","125"
"Male","113"
"4",""
"Female","325"
"Male","342"
"40",""
"Female","471"
"Male","438"
"41",""
"Female","116"
"Male","103"
"42",""
"Female","170"
"Male","194"
"43",""
"Female","149"
"Male","128"
"44",""
"Female","125"
"Male","109"
"45",""
"Female","339"
"Male","327"
"46",""
"Female","123"
"Male","130"
"47",""
"Female","96"
"Male","98"
"48",""
"Female","145"
"Male","178"
"49",""
"Female","102"
"Male","87"
"5",""
"Female","357"
"Male","390"
"50",""
"Female","302"
"Male","306"
"51",""
"Female","69"
"Male","105"
"52",""
"Female","131"
"Male","129"
"53",""
"Female","93"
"Male","80"
"54",""
"Female","78"
"Male","78"
"55",""
"Female","202"
"Male","198"
"56",""
"Female","87"
"Male","90"
"57",""
"Female","91"
"Male","109"
"58",""
"Female","98"
"Male","90"
"59",""
"Female","68"
"Male","63"
"6",""
"Female","354"
"Male","394"
"60",""
"Female","256"
"Male","236"
"61",""
"Female","74"
"Male","76"
"62",""
"Female","74"
"Male","70"
"63",""
"Female","62"
"Male","63"
"64",""
"Female","55"
"Male","62"
"65",""
"Female","141"
"Male","131"
"66",""
"Female","63"
"Male","50"
"67",""
"Female","66"
"Male","74"
"68",""
"Female","85"
"Male","96"
"69",""
"Female","32"
"Male","36"
"7",""
"Female","408"
"Male","381"
"70",""
"Female","128"
"Male","133"
"71",""
"Female","26"
"Male","31"
"72",""
"Female","47"
"Male","51"
"73",""
"Female","16"
"Male","32"
"74",""
"Female","23"
"Male","34"
"75",""
"Female","68"
"Male","64"
"76",""
"Female","25"
"Male","26"
"77",""
"Female","22"
"Male","30"
"78",""
"Female","37"
"Male","46"
"79",""
"Female","15"
"Male","16"
"8",""
"Female","445"
"Male","456"
"80",""
"Female","78"
"Male","43"
"81",""
"Female","7"
"Male","15"
"82",""
"Female","16"
"Male","21"
"83",""
"Female","11"
"Male","14"
"84",""
"Female","12"
"Male","27"
"85",""
"Female","78"
"Male","76"
"9",""
"Female","416"
"Male","387"
