"Population by Educational Attainment","Number"
"Beginners",""
"Female","152"
"Male","185"
"Graduate and Equivalent",""
"Female","30"
"Male","85"
"Intermediate and Equivalent",""
"Female","114"
"Male","223"
"Level not Stated",""
"Female","6"
"Male","7"
"Lower Secondary (Class 6-8)",""
"Female","1405"
"Male","1227"
"Non Formal Education",""
"Female","487"
"Male","386"
"Others",""
"Female","1"
"Male","1"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","31"
"Primary Education (1-5 Class)",""
"Female","2123"
"Male","2277"
"Secondary Level (Class 9-10)",""
"Female","678"
"Male","735"
"SLC and Equivalent",""
"Female","840"
"Male","836"
