"Population by disability type","Number"
"Blind/low vision",""
"Female","93"
"Male","73"
"","166"
"Deaf/hard of hearing",""
"Female","51"
"Male","78"
"","129"
"Deaf-Blind",""
"Female","17"
"Male","14"
"","31"
"Intellectual disable",""
"Female","7"
"Male","6"
"","13"
"Mental disable",""
"Female","13"
"Male","14"
"","27"
"Multiple disable",""
"Female","33"
"Male","18"
"","51"
"No disability",""
"Female","14069"
"Male","12851"
"","26920"
"Physical",""
"Female","117"
"Male","155"
"","272"
"Speech problem",""
"Female","52"
"Male","66"
"","118"
