"Population by disability type","Number"
"Blind/low vision",""
"Female","39"
"Male","54"
"","93"
"Deaf/hard of hearing",""
"Female","48"
"Male","56"
"","104"
"Deaf-Blind",""
"Female","3"
"Male","3"
"","6"
"Intellectual disable",""
"Female","12"
"Male","8"
"","20"
"Mental disable",""
"Female","19"
"Male","14"
"","33"
"Multiple disable",""
"Female","34"
"Male","40"
"","74"
"No disability",""
"Female","9491"
"Male","9095"
"","18586"
"Physical",""
"Female","60"
"Male","78"
"","138"
"Speech problem",""
"Female","40"
"Male","41"
"","81"
