"Population by disability type","Number"
"Blind/low vision",""
"Female","62"
"Male","64"
"","126"
"Deaf/hard of hearing",""
"Female","25"
"Male","53"
"","78"
"Deaf-Blind",""
"Female","14"
"Male","5"
"","19"
"Intellectual disable",""
"Female","5"
"Male","6"
"","11"
"Mental disable",""
"Female","16"
"Male","11"
"","27"
"Multiple disable",""
"Female","25"
"Male","32"
"","57"
"No disability",""
"Female","12297"
"Male","12136"
"","24433"
"Physical",""
"Female","70"
"Male","111"
"","181"
"Speech problem",""
"Female","28"
"Male","42"
"","70"
