"Population by disability type","Number"
"Blind/low vision",""
"Female","49"
"Male","44"
"","93"
"Deaf/hard of hearing",""
"Female","57"
"Male","106"
"","163"
"Deaf-Blind",""
"Female","2"
"Male","5"
"","7"
"Intellectual disable",""
"Female","22"
"Male","15"
"","37"
"Mental disable",""
"Female","15"
"Male","7"
"","22"
"Multiple disable",""
"Female","45"
"Male","49"
"","94"
"No disability",""
"Female","5242"
"Male","5552"
"","10794"
"Physical",""
"Female","127"
"Male","160"
"","287"
"Speech problem",""
"Female","30"
"Male","30"
"","60"
