"Population by disability type","Number"
"Blind/low vision",""
"Female","70"
"Male","59"
"","129"
"Deaf/hard of hearing",""
"Female","51"
"Male","47"
"","98"
"Deaf-Blind",""
"Female","1"
"Male","2"
"","3"
"Intellectual disable",""
"Female","4"
"Male","7"
"","11"
"Mental disable",""
"Female","8"
"Male","11"
"","19"
"Multiple disable",""
"Female","19"
"Male","13"
"","32"
"No disability",""
"Female","8490"
"Male","6891"
"","15381"
"Physical",""
"Female","86"
"Male","93"
"","179"
"Speech problem",""
"Female","14"
"Male","27"
"","41"
