"Population by Educational Attainment","Number"
"Beginners",""
"Female","746"
"Male","798"
"Graduate and Equivalent",""
"Female","10"
"Male","137"
"Intermediate and Equivalent",""
"Female","144"
"Male","439"
"Level not Stated",""
"Female","33"
"Male","35"
"Lower Secondary (Class 6-8)",""
"Female","699"
"Male","1879"
"Non Formal Education",""
"Female","315"
"Male","271"
"Others",""
"Female","4"
"Male","6"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","24"
"Primary Education (1-5 Class)",""
"Female","3460"
"Male","4892"
"Secondary Level (Class 9-10)",""
"Female","246"
"Male","864"
"SLC and Equivalent",""
"Female","151"
"Male","550"
