"Population by disability type","Number"
"Blind/low vision",""
"Female","55"
"Male","51"
"","106"
"Deaf/hard of hearing",""
"Female","45"
"Male","38"
"","83"
"Deaf-Blind",""
"Female","14"
"Male","5"
"","19"
"Intellectual disable",""
"Female","15"
"Male","9"
"","24"
"Mental disable",""
"Female","27"
"Male","21"
"","48"
"Multiple disable",""
"Female","30"
"Male","32"
"","62"
"No disability",""
"Female","25282"
"Male","22644"
"","47926"
"Physical",""
"Female","74"
"Male","111"
"","185"
"Speech problem",""
"Female","42"
"Male","45"
"","87"
