"Population by disability type","Number"
"Blind/low vision",""
"Female","54"
"Male","39"
"","93"
"Deaf/hard of hearing",""
"Female","49"
"Male","52"
"","101"
"Deaf-Blind",""
"Female","5"
"Male","8"
"","13"
"Intellectual disable",""
"Female","9"
"Male","9"
"","18"
"Mental disable",""
"Female","21"
"Male","36"
"","57"
"Multiple disable",""
"Female","24"
"Male","26"
"","50"
"No disability",""
"Female","28048"
"Male","26956"
"","55004"
"Physical",""
"Female","85"
"Male","128"
"","213"
"Speech problem",""
"Female","28"
"Male","51"
"","79"
