"Population by Educational Attainment","Number"
"Beginners",""
"Female","601"
"Male","705"
"Graduate and Equivalent",""
"Female","22"
"Male","102"
"Intermediate and Equivalent",""
"Female","113"
"Male","255"
"Level not Stated",""
"Female","88"
"Male","87"
"Lower Secondary (Class 6-8)",""
"Female","1304"
"Male","1740"
"Non Formal Education",""
"Female","57"
"Male","58"
"Others",""
"Female","2"
"Male","2"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","21"
"Primary Education (1-5 Class)",""
"Female","4141"
"Male","5235"
"Secondary Level (Class 9-10)",""
"Female","551"
"Male","906"
"SLC and Equivalent",""
"Female","406"
"Male","830"
