"Population by disability type","Number"
"Blind/low vision",""
"Female","491"
"Male","518"
"","1009"
"Deaf/hard of hearing",""
"Female","446"
"Male","560"
"","1006"
"Deaf-Blind",""
"Female","65"
"Male","68"
"","133"
"Intellectual disable",""
"Female","72"
"Male","89"
"","161"
"Mental disable",""
"Female","154"
"Male","159"
"","313"
"Multiple disable",""
"Female","218"
"Male","239"
"","457"
"No disability",""
"Female","146223"
"Male","132997"
"","279220"
"Physical",""
"Female","1043"
"Male","1515"
"","2558"
"Speech problem",""
"Female","395"
"Male","518"
"","913"
