"Population by Educational Attainment","Number"
"Beginners",""
"Female","103"
"Male","178"
"","281"
"Graduate and Equivalent",""
"Female","289"
"Male","765"
"","1054"
"Intermediate and Equivalent",""
"Female","661"
"Male","1230"
"","1891"
"Level not Stated",""
"Female","111"
"Male","155"
"","266"
"Lower Secondary (Class 6-8)",""
"Female","1485"
"Male","1943"
"","3428"
"Non Formal Education",""
"Female","22"
"Male","15"
"","37"
"Others",""
"Female","8"
"Male","22"
"","30"
"Post Graduate Equivalent and Above",""
"Female","60"
"Male","206"
"","266"
"Primary Education (1-5 Class)",""
"Female","3440"
"Male","4023"
"","7463"
"Secondary Level (Class 9-10)",""
"Female","764"
"Male","1416"
"","2180"
"SLC and Equivalent",""
"Female","719"
"Male","1369"
"","2088"
