"Population by disability type","Number"
"Blind/low vision",""
"Female","3"
"Male","2"
"","5"
"Deaf/hard of hearing",""
"Female","8"
"Male","2"
"","10"
"Deaf-Blind",""
"Female","1"
"Male","0"
"","1"
"Intellectual disable",""
"Female","3"
"Male","1"
"","4"
"Mental disable",""
"Female","3"
"Male","2"
"","5"
"Multiple disable",""
"Female","1"
"Male","0"
"","1"
"No disability",""
"Female","261"
"Male","247"
"","508"
"Physical",""
"Female","0"
"Male","4"
"","4"
"Speech problem",""
"Female","0"
"Male","0"
"","0"
