"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","5"
"Male","36"
"Badi",""
"Female","84"
"Male","98"
"Bahing",""
"Female","7"
"Male","10"
"Bangali",""
"Female","127"
"Male","256"
"Bantaba",""
"Female","25"
"Male","25"
"Bantar/Sardar",""
"Female","16"
"Male","34"
"Baraee",""
"Female","55"
"Male","120"
"Bhote",""
"Female","45"
"Male","38"
"Bin",""
"Female","6"
"Male","10"
"Bote",""
"Female","12"
"Male","10"
"Brahman - Hill",""
"Female","15954"
"Male","17858"
"Brahman - Tarai",""
"Female","281"
"Male","415"
"Brahmu/ Baramo",""
"Female","4"
"Male","7"
"Byasi/Sauka",""
"Female","4"
"Male","9"
"Chamar/ Harijan/ Ram",""
"Female","50"
"Male","134"
"Chamling",""
"Female","64"
"Male","56"
"Chepang /Praja",""
"Female","45"
"Male","59"
"Chhantyal/Chhantel",""
"Female","7"
"Male","6"
"Chhetri",""
"Female","22320"
"Male","22882"
"Dalit Others",""
"Female","368"
"Male","425"
"Damai/Dholi",""
"Female","450"
"Male","468"
"Danuwar",""
"Female","121"
"Male","156"
"Darai",""
"Female","11"
"Male","13"
"Dev",""
"Female","7"
"Male","12"
"Dhanuk",""
"Female","115"
"Male","259"
"Dhimal",""
"Female","29"
"Male","28"
"Dhobi",""
"Female","95"
"Male","102"
"Dura",""
"Female","37"
"Male","35"
"Dusadh/ Pasawan/ Pasi",""
"Female","28"
"Male","61"
"Foreigner",""
"Female","302"
"Male","316"
"Gaine",""
"Female","10"
"Male","18"
"Ghale",""
"Female","99"
"Male","82"
"Gharti/Bhujel",""
"Female","237"
"Male","288"
"Gurung",""
"Female","2606"
"Male","2399"
"Hajam/Thakur",""
"Female","193"
"Male","409"
"Halwai",""
"Female","127"
"Male","202"
"Janajati Others",""
"Female","7"
"Male","8"
"Jhangad/ Dhagar",""
"Female","13"
"Male","15"
"Jirel",""
"Female","36"
"Male","39"
"Kahar",""
"Female","12"
"Male","20"
"Kalwar",""
"Female","462"
"Male","883"
"Kamar",""
"Female","1"
"Male","14"
"Kami",""
"Female","1307"
"Male","1617"
"Kanu",""
"Female","54"
"Male","172"
"Kathabaniyan",""
"Female","187"
"Male","351"
"Kayastha",""
"Female","324"
"Male","420"
"Kewat",""
"Female","17"
"Male","40"
"Khatwe",""
"Female","4"
"Male","57"
"Koche",""
"Female","4"
"Male","7"
"Koiri/Kushwaha",""
"Female","166"
"Male","444"
"Kulung",""
"Female","9"
"Male","11"
"Kumal",""
"Female","82"
"Male","128"
"Kumhar",""
"Female","16"
"Male","59"
"Kurmi",""
"Female","55"
"Male","179"
"Lepcha",""
"Female","38"
"Male","33"
"Lhomi",""
"Female","19"
"Male","18"
"Limbu",""
"Female","1945"
"Male","1703"
"Lohar",""
"Female","143"
"Male","354"
"Magar",""
"Female","7678"
"Male","7596"
"Majhi",""
"Female","415"
"Male","482"
"Mali",""
"Female","7"
"Male","17"
"Mallaha",""
"Female","18"
"Male","39"
"Marwadi",""
"Female","369"
"Male","403"
"Munda",""
"Female","20"
"Male","7"
"Musahar",""
"Female","11"
"Male","33"
"Musalman",""
"Female","732"
"Male","1539"
"Nachhiring",""
"Female","6"
"Male","5"
"Natuwa",""
"Female","5"
"Male","11"
"Newar",""
"Female","56948"
"Male","55773"
"Nuniya",""
"Female","27"
"Male","56"
"Others",""
"Female","47"
"Male","50"
"Pahari",""
"Female","29"
"Male","27"
"Punjabi/Sikh",""
"Female","92"
"Male","142"
"Rai",""
"Female","5257"
"Male","4721"
"Rajbansi",""
"Female","67"
"Male","82"
"Rajdhob",""
"Female","10"
"Male","18"
"Rajput",""
"Female","154"
"Male","249"
"Samgpang",""
"Female","15"
"Male","17"
"Sanyasi/Dasnami",""
"Female","447"
"Male","490"
"Sarki",""
"Female","641"
"Male","574"
"Satar/ Santhal",""
"Female","13"
"Male","18"
"Sherpa",""
"Female","350"
"Male","323"
"Sonar",""
"Female","31"
"Male","50"
"Sudhi",""
"Female","156"
"Male","265"
"Sunuwar",""
"Female","476"
"Male","477"
"Tajpuriya",""
"Female","6"
"Male","5"
"Tamang",""
"Female","11668"
"Male","11846"
"Tatma/Tatwa",""
"Female","19"
"Male","56"
"Teli",""
"Female","411"
"Male","870"
"Terai Others",""
"Female","178"
"Male","333"
"Thakali",""
"Female","206"
"Male","164"
"Thakuri",""
"Female","1259"
"Male","1252"
"Thami",""
"Female","55"
"Male","66"
"Tharu",""
"Female","1652"
"Male","2537"
"Thulung",""
"Female","22"
"Male","24"
"Undefined Others",""
"Female","26"
"Male","28"
"Yadav",""
"Female","557"
"Male","1314"
"Yakkha",""
"Female","71"
"Male","57"
