"Population by Single Year of Age","Number"
"0",""
"Female","342"
"Male","370"
"1",""
"Female","268"
"Male","293"
"10",""
"Female","798"
"Male","873"
"11",""
"Female","279"
"Male","266"
"12",""
"Female","556"
"Male","662"
"13",""
"Female","307"
"Male","286"
"14",""
"Female","375"
"Male","407"
"15",""
"Female","347"
"Male","449"
"16",""
"Female","305"
"Male","391"
"17",""
"Female","201"
"Male","256"
"18",""
"Female","370"
"Male","500"
"19",""
"Female","127"
"Male","161"
"2",""
"Female","437"
"Male","403"
"20",""
"Female","459"
"Male","519"
"21",""
"Female","104"
"Male","111"
"22",""
"Female","241"
"Male","304"
"23",""
"Female","236"
"Male","177"
"24",""
"Female","171"
"Male","161"
"25",""
"Female","517"
"Male","608"
"26",""
"Female","161"
"Male","166"
"27",""
"Female","148"
"Male","166"
"28",""
"Female","432"
"Male","291"
"29",""
"Female","77"
"Male","74"
"3",""
"Female","505"
"Male","499"
"30",""
"Female","637"
"Male","705"
"31",""
"Female","58"
"Male","57"
"32",""
"Female","227"
"Male","265"
"33",""
"Female","190"
"Male","83"
"34",""
"Female","101"
"Male","75"
"35",""
"Female","511"
"Male","675"
"36",""
"Female","94"
"Male","132"
"37",""
"Female","81"
"Male","91"
"38",""
"Female","340"
"Male","177"
"39",""
"Female","44"
"Male","38"
"4",""
"Female","467"
"Male","477"
"40",""
"Female","468"
"Male","703"
"41",""
"Female","31"
"Male","30"
"42",""
"Female","140"
"Male","138"
"43",""
"Female","145"
"Male","47"
"44",""
"Female","36"
"Male","49"
"45",""
"Female","335"
"Male","523"
"46",""
"Female","51"
"Male","56"
"47",""
"Female","38"
"Male","47"
"48",""
"Female","152"
"Male","102"
"49",""
"Female","22"
"Male","25"
"5",""
"Female","570"
"Male","633"
"50",""
"Female","275"
"Male","402"
"51",""
"Female","18"
"Male","20"
"52",""
"Female","61"
"Male","63"
"53",""
"Female","76"
"Male","19"
"54",""
"Female","25"
"Male","17"
"55",""
"Female","251"
"Male","279"
"56",""
"Female","40"
"Male","43"
"57",""
"Female","44"
"Male","20"
"58",""
"Female","130"
"Male","77"
"59",""
"Female","26"
"Male","28"
"6",""
"Female","590"
"Male","610"
"60",""
"Female","311"
"Male","374"
"61",""
"Female","16"
"Male","17"
"62",""
"Female","64"
"Male","47"
"63",""
"Female","78"
"Male","24"
"64",""
"Female","23"
"Male","20"
"65",""
"Female","310"
"Male","306"
"66",""
"Female","27"
"Male","24"
"67",""
"Female","26"
"Male","34"
"68",""
"Female","67"
"Male","84"
"69",""
"Female","15"
"Male","33"
"7",""
"Female","435"
"Male","524"
"70",""
"Female","201"
"Male","247"
"71",""
"Female","10"
"Male","17"
"72",""
"Female","36"
"Male","38"
"73",""
"Female","8"
"Male","15"
"74",""
"Female","5"
"Male","3"
"75",""
"Female","96"
"Male","104"
"76",""
"Female","6"
"Male","6"
"77",""
"Female","5"
"Male","8"
"78",""
"Female","10"
"Male","10"
"79",""
"Female","3"
"Male","3"
"8",""
"Female","733"
"Male","745"
"80",""
"Female","37"
"Male","67"
"82",""
"Female","1"
"Male","2"
"83",""
"Female","2"
"Male","1"
"84",""
"Female","1"
"Male","0"
"85",""
"Female","38"
"Male","31"
"9",""
"Female","321"
"Male","370"
