"Population by disability type","Number"
"Blind/low vision",""
"Female","56"
"Male","61"
"","117"
"Deaf/hard of hearing",""
"Female","31"
"Male","64"
"","95"
"Deaf-Blind",""
"Female","1"
"Male","4"
"","5"
"Intellectual disable",""
"Female","6"
"Male","3"
"","9"
"Mental disable",""
"Female","10"
"Male","19"
"","29"
"Multiple disable",""
"Female","23"
"Male","19"
"","42"
"No disability",""
"Female","12738"
"Male","11819"
"","24557"
"Physical",""
"Female","125"
"Male","184"
"","309"
"Speech problem",""
"Female","36"
"Male","41"
"","77"
