"Population by Mother tongue","Number"
"Achhami",""
"Female","2"
"Male","9"
"Avadhi",""
"Female","61"
"Male","112"
"Bahing",""
"Female","40"
"Male","41"
"Baitadeli",""
"Female","7"
"Male","7"
"Bajjika",""
"Female","23"
"Male","69"
"Bangla",""
"Female","102"
"Male","252"
"Bantawa",""
"Female","234"
"Male","237"
"Bhojpuri",""
"Female","1423"
"Male","3312"
"Bhujel",""
"Female","13"
"Male","10"
"Chamling",""
"Female","236"
"Male","171"
"Chepang",""
"Female","15"
"Male","20"
"Chinese",""
"Female","7"
"Male","11"
"Danuwar",""
"Female","464"
"Male","458"
"Darai",""
"Female","13"
"Male","13"
"Dhimal",""
"Female","22"
"Male","21"
"Doteli",""
"Female","111"
"Male","198"
"Dungmali",""
"Female","12"
"Male","12"
"Dura",""
"Female","7"
"Male","8"
"English",""
"Female","255"
"Male","265"
"French",""
"Female","10"
"Male","8"
"Ghale",""
"Female","34"
"Male","28"
"Gurung",""
"Female","1475"
"Male","1363"
"Hindi",""
"Female","800"
"Male","1664"
"Jirel",""
"Female","32"
"Male","31"
"Khaling",""
"Female","29"
"Male","23"
"Kham",""
"Female","75"
"Male","57"
"Kulung",""
"Female","26"
"Male","28"
"Kumal",""
"Female","4"
"Male","10"
"Lapcha",""
"Female","11"
"Male","9"
"Lhomi",""
"Female","18"
"Male","16"
"Limbu",""
"Female","1315"
"Male","1256"
"Magar",""
"Female","3241"
"Male","3371"
"Maithili",""
"Female","3877"
"Male","7515"
"Majhi",""
"Female","69"
"Male","92"
"Mizo",""
"Female","10"
"Male","10"
"Nachhiring",""
"Female","20"
"Male","14"
"Nepali",""
"Female","108338"
"Male","107888"
"Newar",""
"Female","70393"
"Male","68081"
"Not Reported",""
"Female","156"
"Male","178"
"Oriya",""
"Female","16"
"Male","22"
"Others",""
"Female","727"
"Male","679"
"Pahari",""
"Female","977"
"Male","1065"
"Puma",""
"Female","17"
"Male","7"
"Punjabi",""
"Female","51"
"Male","66"
"Rai",""
"Female","2522"
"Male","2303"
"Rajbanshi",""
"Female","45"
"Male","69"
"Rajsthani",""
"Female","116"
"Male","115"
"Sampang",""
"Female","34"
"Male","37"
"Santhali",""
"Female","7"
"Male","7"
"Sherpa",""
"Female","348"
"Male","286"
"Sign Language",""
"Female","6"
"Male","7"
"Sunuwar",""
"Female","356"
"Male","367"
"Tamang",""
"Female","26271"
"Male","26056"
"Thakali",""
"Female","69"
"Male","50"
"Thami",""
"Female","39"
"Male","44"
"Tharu",""
"Female","1278"
"Male","1855"
"Thulung",""
"Female","74"
"Male","80"
"Tibetan",""
"Female","319"
"Male","265"
"Uranw/Urau",""
"Female","10"
"Male","11"
"Urdu",""
"Female","253"
"Male","480"
"Wambule",""
"Female","109"
"Male","113"
"Yakkha",""
"Female","59"
"Male","43"
"Yamphu/Yamphe",""
"Female","13"
"Male","15"
