"Population by disability type","Number"
"Blind/low vision",""
"Female","227"
"Male","209"
"","436"
"Deaf/hard of hearing",""
"Female","137"
"Male","129"
"","266"
"Deaf-Blind",""
"Female","22"
"Male","17"
"","39"
"Intellectual disable",""
"Female","23"
"Male","18"
"","41"
"Mental disable",""
"Female","38"
"Male","42"
"","80"
"Multiple disable",""
"Female","42"
"Male","57"
"","99"
"No disability",""
"Female","34570"
"Male","31798"
"","66368"
"Physical",""
"Female","220"
"Male","308"
"","528"
"Speech problem",""
"Female","60"
"Male","95"
"","155"
