"Population by Single Year of Age","Number"
"0",""
"Female","396"
"Male","436"
"1",""
"Female","319"
"Male","317"
"10",""
"Female","665"
"Male","617"
"11",""
"Female","501"
"Male","480"
"12",""
"Female","666"
"Male","716"
"13",""
"Female","612"
"Male","627"
"14",""
"Female","690"
"Male","669"
"15",""
"Female","672"
"Male","680"
"16",""
"Female","752"
"Male","715"
"17",""
"Female","620"
"Male","563"
"18",""
"Female","767"
"Male","690"
"19",""
"Female","492"
"Male","387"
"2",""
"Female","388"
"Male","374"
"20",""
"Female","692"
"Male","548"
"21",""
"Female","477"
"Male","349"
"22",""
"Female","643"
"Male","457"
"23",""
"Female","467"
"Male","344"
"24",""
"Female","488"
"Male","322"
"25",""
"Female","755"
"Male","430"
"26",""
"Female","443"
"Male","273"
"27",""
"Female","428"
"Male","297"
"28",""
"Female","554"
"Male","405"
"29",""
"Female","245"
"Male","187"
"3",""
"Female","400"
"Male","401"
"30",""
"Female","843"
"Male","527"
"31",""
"Female","184"
"Male","169"
"32",""
"Female","486"
"Male","328"
"33",""
"Female","307"
"Male","203"
"34",""
"Female","294"
"Male","217"
"35",""
"Female","805"
"Male","659"
"36",""
"Female","339"
"Male","266"
"37",""
"Female","263"
"Male","181"
"38",""
"Female","414"
"Male","294"
"39",""
"Female","158"
"Male","172"
"4",""
"Female","447"
"Male","461"
"40",""
"Female","764"
"Male","639"
"41",""
"Female","165"
"Male","171"
"42",""
"Female","325"
"Male","286"
"43",""
"Female","236"
"Male","210"
"44",""
"Female","178"
"Male","144"
"45",""
"Female","664"
"Male","565"
"46",""
"Female","217"
"Male","211"
"47",""
"Female","162"
"Male","167"
"48",""
"Female","293"
"Male","255"
"49",""
"Female","130"
"Male","130"
"5",""
"Female","451"
"Male","489"
"50",""
"Female","523"
"Male","562"
"51",""
"Female","131"
"Male","146"
"52",""
"Female","214"
"Male","240"
"53",""
"Female","145"
"Male","147"
"54",""
"Female","130"
"Male","136"
"55",""
"Female","375"
"Male","372"
"56",""
"Female","154"
"Male","169"
"57",""
"Female","116"
"Male","119"
"58",""
"Female","194"
"Male","190"
"59",""
"Female","96"
"Male","102"
"6",""
"Female","472"
"Male","487"
"60",""
"Female","436"
"Male","459"
"61",""
"Female","106"
"Male","113"
"62",""
"Female","143"
"Male","128"
"63",""
"Female","75"
"Male","85"
"64",""
"Female","86"
"Male","93"
"65",""
"Female","318"
"Male","275"
"66",""
"Female","67"
"Male","61"
"67",""
"Female","82"
"Male","72"
"68",""
"Female","112"
"Male","146"
"69",""
"Female","43"
"Male","51"
"7",""
"Female","504"
"Male","529"
"70",""
"Female","237"
"Male","224"
"71",""
"Female","44"
"Male","45"
"72",""
"Female","75"
"Male","68"
"73",""
"Female","60"
"Male","43"
"74",""
"Female","31"
"Male","35"
"75",""
"Female","125"
"Male","101"
"76",""
"Female","40"
"Male","35"
"77",""
"Female","35"
"Male","30"
"78",""
"Female","55"
"Male","51"
"79",""
"Female","15"
"Male","20"
"8",""
"Female","565"
"Male","587"
"80",""
"Female","64"
"Male","43"
"81",""
"Female","14"
"Male","15"
"82",""
"Female","15"
"Male","22"
"83",""
"Female","17"
"Male","14"
"84",""
"Female","20"
"Male","24"
"85",""
"Female","92"
"Male","75"
"9",""
"Female","455"
"Male","448"
