"Population by disability type","Number"
"Blind/low vision",""
"Female","65"
"Male","58"
"","123"
"Deaf/hard of hearing",""
"Female","57"
"Male","56"
"","113"
"Deaf-Blind",""
"Female","11"
"Male","7"
"","18"
"Intellectual disable",""
"Female","25"
"Male","15"
"","40"
"Mental disable",""
"Female","41"
"Male","31"
"","72"
"Multiple disable",""
"Female","34"
"Male","44"
"","78"
"No disability",""
"Female","29836"
"Male","25029"
"","54865"
"Physical",""
"Female","156"
"Male","226"
"","382"
"Speech problem",""
"Female","69"
"Male","62"
"","131"
