"Population by Educational Attainment","Number"
"Beginners",""
"Female","673"
"Male","812"
"","1485"
"Graduate and Equivalent",""
"Female","295"
"Male","495"
"","790"
"Intermediate and Equivalent",""
"Female","1233"
"Male","1110"
"","2343"
"Level not Stated",""
"Female","94"
"Male","80"
"","174"
"Lower Secondary (Class 6-8)",""
"Female","4745"
"Male","4394"
"","9139"
"Non Formal Education",""
"Female","1154"
"Male","855"
"","2009"
"Others",""
"Female","12"
"Male","16"
"","28"
"Post Graduate Equivalent and Above",""
"Female","38"
"Male","171"
"","209"
"Primary Education (1-5 Class)",""
"Female","6917"
"Male","7294"
"","14211"
"Secondary Level (Class 9-10)",""
"Female","3081"
"Male","2721"
"","5802"
"SLC and Equivalent",""
"Female","2306"
"Male","2214"
"","4520"
