"Population by disability type","Number"
"Blind/low vision",""
"Female","51"
"Male","59"
"","110"
"Deaf/hard of hearing",""
"Female","56"
"Male","49"
"","105"
"Deaf-Blind",""
"Female","3"
"Male","0"
"","3"
"Intellectual disable",""
"Female","3"
"Male","6"
"","9"
"Mental disable",""
"Female","17"
"Male","10"
"","27"
"Multiple disable",""
"Female","14"
"Male","10"
"","24"
"No disability",""
"Female","14130"
"Male","12348"
"","26478"
"Physical",""
"Female","78"
"Male","119"
"","197"
"Speech problem",""
"Female","40"
"Male","44"
"","84"
