"Population by Educational Attainment","Number"
"Beginners",""
"Female","20"
"Male","19"
"Graduate and Equivalent",""
"Female","18"
"Male","97"
"Intermediate and Equivalent",""
"Female","78"
"Male","280"
"Level not Stated",""
"Female","86"
"Male","197"
"Lower Secondary (Class 6-8)",""
"Female","662"
"Male","1093"
"Non Formal Education",""
"Female","3"
"Male","9"
"Others",""
"Female","21"
"Male","15"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","24"
"Primary Education (1-5 Class)",""
"Female","1688"
"Male","2063"
"Secondary Level (Class 9-10)",""
"Female","350"
"Male","840"
"SLC and Equivalent",""
"Female","179"
"Male","506"
