"Population by disability type","Number"
"Blind/low vision",""
"Female","48"
"Male","58"
"","106"
"Deaf/hard of hearing",""
"Female","13"
"Male","20"
"","33"
"Deaf-Blind",""
"Female","3"
"Male","3"
"","6"
"Intellectual disable",""
"Female","2"
"Male","10"
"","12"
"Mental disable",""
"Female","11"
"Male","20"
"","31"
"Multiple disable",""
"Female","12"
"Male","19"
"","31"
"No disability",""
"Female","17302"
"Male","18353"
"","35655"
"Physical",""
"Female","65"
"Male","72"
"","137"
"Speech problem",""
"Female","9"
"Male","22"
"","31"
