"Population by disability type","Number"
"Blind/low vision",""
"Female","108"
"Male","99"
"","207"
"Deaf/hard of hearing",""
"Female","42"
"Male","25"
"","67"
"Deaf-Blind",""
"Female","0"
"Male","1"
"","1"
"Intellectual disable",""
"Female","6"
"Male","6"
"","12"
"Mental disable",""
"Female","15"
"Male","36"
"","51"
"Multiple disable",""
"Female","11"
"Male","12"
"","23"
"No disability",""
"Female","24489"
"Male","21622"
"","46111"
"Physical",""
"Female","59"
"Male","115"
"","174"
"Speech problem",""
"Female","37"
"Male","74"
"","111"
