"Population by Educational Attainment","Number"
"Beginners",""
"Female","165"
"Male","193"
"Graduate and Equivalent",""
"Female","23"
"Male","71"
"Intermediate and Equivalent",""
"Female","102"
"Male","144"
"Level not Stated",""
"Female","13"
"Male","25"
"Lower Secondary (Class 6-8)",""
"Female","1176"
"Male","1176"
"Non Formal Education",""
"Female","298"
"Male","389"
"Others",""
"Female","2"
"Male","1"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","12"
"Primary Education (1-5 Class)",""
"Female","2837"
"Male","2800"
"Secondary Level (Class 9-10)",""
"Female","455"
"Male","535"
"SLC and Equivalent",""
"Female","355"
"Male","428"
