"Population by disability type","Number"
"Blind/low vision",""
"Female","37"
"Male","38"
"","75"
"Deaf/hard of hearing",""
"Female","51"
"Male","51"
"","102"
"Deaf-Blind",""
"Female","6"
"Male","6"
"","12"
"Intellectual disable",""
"Female","5"
"Male","6"
"","11"
"Mental disable",""
"Female","12"
"Male","15"
"","27"
"Multiple disable",""
"Female","35"
"Male","37"
"","72"
"No disability",""
"Female","9983"
"Male","9118"
"","19101"
"Physical",""
"Female","69"
"Male","102"
"","171"
"Speech problem",""
"Female","43"
"Male","58"
"","101"
