"Population by disability type","Number"
"Blind/low vision",""
"Female","315"
"Male","323"
"","638"
"Deaf/hard of hearing",""
"Female","52"
"Male","56"
"","108"
"Deaf-Blind",""
"Female","4"
"Male","5"
"","9"
"Intellectual disable",""
"Female","11"
"Male","21"
"","32"
"Mental disable",""
"Female","15"
"Male","19"
"","34"
"Multiple disable",""
"Female","38"
"Male","48"
"","86"
"No disability",""
"Female","12798"
"Male","13498"
"","26296"
"Physical",""
"Female","105"
"Male","133"
"","238"
"Speech problem",""
"Female","38"
"Male","73"
"","111"
