"Population by Educational Attainment","Number"
"Beginners",""
"Female","104"
"Male","121"
"Graduate and Equivalent",""
"Female","0"
"Male","5"
"Intermediate and Equivalent",""
"Female","6"
"Male","18"
"Level not Stated",""
"Female","0"
"Male","4"
"Lower Secondary (Class 6-8)",""
"Female","23"
"Male","121"
"Non Formal Education",""
"Female","6"
"Male","16"
"Others",""
"Female","0"
"Male","4"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","0"
"Primary Education (1-5 Class)",""
"Female","510"
"Male","630"
"Secondary Level (Class 9-10)",""
"Female","8"
"Male","41"
"SLC and Equivalent",""
"Female","7"
"Male","46"
