"Population by disability type","Number"
"Blind/low vision",""
"Female","28"
"Male","24"
"","52"
"Deaf/hard of hearing",""
"Female","25"
"Male","29"
"","54"
"Deaf-Blind",""
"Female","4"
"Male","2"
"","6"
"Intellectual disable",""
"Female","5"
"Male","7"
"","12"
"Mental disable",""
"Female","14"
"Male","10"
"","24"
"Multiple disable",""
"Female","5"
"Male","10"
"","15"
"No disability",""
"Female","11289"
"Male","9754"
"","21043"
"Physical",""
"Female","78"
"Male","100"
"","178"
"Speech problem",""
"Female","37"
"Male","52"
"","89"
