"Population by Educational Attainment","Number"
"Beginners",""
"Female","258"
"Male","237"
"","495"
"Graduate and Equivalent",""
"Female","0"
"Male","30"
"","30"
"Intermediate and Equivalent",""
"Female","26"
"Male","136"
"","162"
"Level not Stated",""
"Female","14"
"Male","7"
"","21"
"Lower Secondary (Class 6-8)",""
"Female","308"
"Male","546"
"","854"
"Non Formal Education",""
"Female","91"
"Male","61"
"","152"
"Others",""
"Female","0"
"Male","4"
"","4"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","5"
"","5"
"Primary Education (1-5 Class)",""
"Female","1076"
"Male","1347"
"","2423"
"Secondary Level (Class 9-10)",""
"Female","109"
"Male","351"
"","460"
"SLC and Equivalent",""
"Female","81"
"Male","284"
"","365"
