"Population by disability type","Number"
"Blind/low vision",""
"Female","80"
"Male","70"
"","150"
"Deaf/hard of hearing",""
"Female","44"
"Male","38"
"","82"
"Deaf-Blind",""
"Female","7"
"Male","2"
"","9"
"Intellectual disable",""
"Female","3"
"Male","6"
"","9"
"Mental disable",""
"Female","11"
"Male","22"
"","33"
"Multiple disable",""
"Female","36"
"Male","33"
"","69"
"No disability",""
"Female","13694"
"Male","11402"
"","25096"
"Physical",""
"Female","103"
"Male","148"
"","251"
"Speech problem",""
"Female","21"
"Male","41"
"","62"
