"Population by Educational Attainment","Number"
"Beginners",""
"Female","14"
"Male","11"
"Graduate and Equivalent",""
"Female","4"
"Male","25"
"Intermediate and Equivalent",""
"Female","9"
"Male","25"
"Level not Stated",""
"Female","2"
"Male","3"
"Lower Secondary (Class 6-8)",""
"Female","14"
"Male","21"
"Non Formal Education",""
"Female","0"
"Male","5"
"Others",""
"Female","1"
"Male","1"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","1"
"Primary Education (1-5 Class)",""
"Female","105"
"Male","132"
"Secondary Level (Class 9-10)",""
"Female","4"
"Male","14"
"SLC and Equivalent",""
"Female","6"
"Male","7"
