"Population by disability type","Number"
"Blind/low vision",""
"Female","67"
"Male","87"
"","154"
"Deaf/hard of hearing",""
"Female","112"
"Male","143"
"","255"
"Deaf-Blind",""
"Female","5"
"Male","12"
"","17"
"Intellectual disable",""
"Female","19"
"Male","18"
"","37"
"Mental disable",""
"Female","53"
"Male","29"
"","82"
"Multiple disable",""
"Female","46"
"Male","46"
"","92"
"No disability",""
"Female","28304"
"Male","27266"
"","55570"
"Physical",""
"Female","169"
"Male","205"
"","374"
"Speech problem",""
"Female","65"
"Male","61"
"","126"
