"Population by disability type","Number"
"Blind/low vision",""
"Female","40"
"Male","40"
"","80"
"Deaf/hard of hearing",""
"Female","58"
"Male","69"
"","127"
"Deaf-Blind",""
"Female","3"
"Male","1"
"","4"
"Intellectual disable",""
"Female","12"
"Male","17"
"","29"
"Mental disable",""
"Female","34"
"Male","29"
"","63"
"Multiple disable",""
"Female","7"
"Male","11"
"","18"
"No disability",""
"Female","15457"
"Male","11711"
"","27168"
"Physical",""
"Female","162"
"Male","199"
"","361"
"Speech problem",""
"Female","41"
"Male","40"
"","81"
