"Population by Educational Attainment","Number"
"Beginners",""
"Female","139"
"Male","202"
"","341"
"Graduate and Equivalent",""
"Female","39"
"Male","223"
"","262"
"Intermediate and Equivalent",""
"Female","168"
"Male","470"
"","638"
"Level not Stated",""
"Female","19"
"Male","20"
"","39"
"Lower Secondary (Class 6-8)",""
"Female","858"
"Male","1526"
"","2384"
"Non Formal Education",""
"Female","47"
"Male","49"
"","96"
"Others",""
"Female","8"
"Male","13"
"","21"
"Post Graduate Equivalent and Above",""
"Female","8"
"Male","41"
"","49"
"Primary Education (1-5 Class)",""
"Female","2218"
"Male","2672"
"","4890"
"Secondary Level (Class 9-10)",""
"Female","470"
"Male","1216"
"","1686"
"SLC and Equivalent",""
"Female","250"
"Male","766"
"","1016"
