"Population by Caste Ethinicity","Number"
"Badi",""
"Female","111"
"Male","92"
"","203"
"Bhote",""
"Female","6"
"Male","10"
"","16"
"Brahman - Hill",""
"Female","4150"
"Male","3845"
"","7995"
"Brahman - Tarai",""
"Female","4"
"Male","7"
"","11"
"Chamar/ Harijan/ Ram",""
"Female","10"
"Male","9"
"","19"
"Chhetri",""
"Female","9288"
"Male","7916"
"","17204"
"Dalit Others",""
"Female","1437"
"Male","1148"
"","2585"
"Damai/Dholi",""
"Female","865"
"Male","695"
"","1560"
"Foreigner",""
"Female","11"
"Male","7"
"","18"
"Gurung",""
"Female","38"
"Male","23"
"","61"
"Halwai",""
"Female","5"
"Male","12"
"","17"
"Kami",""
"Female","3234"
"Male","2668"
"","5902"
"Kathabaniyan",""
"Female","18"
"Male","24"
"","42"
"Kayastha",""
"Female","9"
"Male","2"
"","11"
"Kumal",""
"Female","24"
"Male","19"
"","43"
"Kumhar",""
"Female","19"
"Male","13"
"","32"
"Kurmi",""
"Female","79"
"Male","66"
"","145"
"Limbu",""
"Female","16"
"Male","9"
"","25"
"Lohar",""
"Female","221"
"Male","185"
"","406"
"Magar",""
"Female","1241"
"Male","1105"
"","2346"
"Mallaha",""
"Female","163"
"Male","169"
"","332"
"Meche",""
"Female","40"
"Male","26"
"","66"
"Musalman",""
"Female","177"
"Male","239"
"","416"
"Newar",""
"Female","144"
"Male","129"
"","273"
"Others",""
"Female","39"
"Male","50"
"","89"
"Punjabi/Sikh",""
"Female","16"
"Male","18"
"","34"
"Rai",""
"Female","22"
"Male","22"
"","44"
"Rajbansi",""
"Female","42"
"Male","31"
"","73"
"Raji",""
"Female","33"
"Male","33"
"","66"
"Sanyasi/Dasnami",""
"Female","247"
"Male","227"
"","474"
"Sarki",""
"Female","138"
"Male","140"
"","278"
"Tamang",""
"Female","32"
"Male","24"
"","56"
"Tatma/Tatwa",""
"Female","11"
"Male","8"
"","19"
"Teli",""
"Female","21"
"Male","16"
"","37"
"Terai Others",""
"Female","22"
"Male","18"
"","40"
"Thakali",""
"Female","37"
"Male","32"
"","69"
"Thakuri",""
"Female","1689"
"Male","1508"
"","3197"
"Thami",""
"Female","34"
"Male","25"
"","59"
"Tharu",""
"Female","16146"
"Male","15675"
"","31821"
