"Population by disability type","Number"
"Blind/low vision",""
"Female","192"
"Male","144"
"","336"
"Deaf/hard of hearing",""
"Female","76"
"Male","84"
"","160"
"Deaf-Blind",""
"Female","4"
"Male","4"
"","8"
"Intellectual disable",""
"Female","15"
"Male","14"
"","29"
"Mental disable",""
"Female","33"
"Male","69"
"","102"
"Multiple disable",""
"Female","34"
"Male","45"
"","79"
"No disability",""
"Female","39236"
"Male","35601"
"","74837"
"Physical",""
"Female","200"
"Male","224"
"","424"
"Speech problem",""
"Female","49"
"Male","60"
"","109"
