"Population by disability type","Number"
"Blind/low vision",""
"Female","122"
"Male","139"
"","261"
"Deaf/hard of hearing",""
"Female","70"
"Male","84"
"","154"
"Deaf-Blind",""
"Female","13"
"Male","21"
"","34"
"Intellectual disable",""
"Female","22"
"Male","24"
"","46"
"Mental disable",""
"Female","46"
"Male","43"
"","89"
"Multiple disable",""
"Female","53"
"Male","59"
"","112"
"No disability",""
"Female","57771"
"Male","57972"
"","115743"
"Physical",""
"Female","188"
"Male","274"
"","462"
"Speech problem",""
"Female","84"
"Male","109"
"","193"
