"Population by disability type","Number"
"Blind/low vision",""
"Female","86"
"Male","63"
"","149"
"Deaf/hard of hearing",""
"Female","57"
"Male","66"
"","123"
"Deaf-Blind",""
"Female","4"
"Male","9"
"","13"
"Intellectual disable",""
"Female","7"
"Male","11"
"","18"
"Mental disable",""
"Female","8"
"Male","7"
"","15"
"Multiple disable",""
"Female","15"
"Male","18"
"","33"
"No disability",""
"Female","8224"
"Male","7837"
"","16061"
"Physical",""
"Female","104"
"Male","144"
"","248"
"Speech problem",""
"Female","19"
"Male","41"
"","60"
