"Population by disability type","Number"
"Blind/low vision",""
"Female","31"
"Male","36"
"","67"
"Deaf/hard of hearing",""
"Female","39"
"Male","32"
"","71"
"Deaf-Blind",""
"Female","2"
"Male","5"
"","7"
"Intellectual disable",""
"Female","4"
"Male","2"
"","6"
"Mental disable",""
"Female","2"
"Male","11"
"","13"
"Multiple disable",""
"Female","2"
"Male","5"
"","7"
"No disability",""
"Female","9634"
"Male","8624"
"","18258"
"Physical",""
"Female","53"
"Male","69"
"","122"
"Speech problem",""
"Female","11"
"Male","13"
"","24"
