"Population by Mother tongue","Number"
"Achhami",""
"Female","21"
"Male","44"
"","65"
"Assami",""
"Female","11"
"Male","17"
"","28"
"Athpariya",""
"Female","6"
"Male","7"
"","13"
"Avadhi",""
"Female","159"
"Male","228"
"","387"
"Bahing",""
"Female","82"
"Male","72"
"","154"
"Baitadeli",""
"Female","24"
"Male","59"
"","83"
"Bajhangi",""
"Female","21"
"Male","27"
"","48"
"Bajjika",""
"Female","28"
"Male","132"
"","160"
"Bangla",""
"Female","591"
"Male","2408"
"","2999"
"Bantawa",""
"Female","247"
"Male","221"
"","468"
"Belhare",""
"Female","6"
"Male","10"
"","16"
"Bhojpuri",""
"Female","4546"
"Male","11075"
"","15621"
"Bhujel",""
"Female","23"
"Male","28"
"","51"
"Bote",""
"Female","15"
"Male","13"
"","28"
"Chamling",""
"Female","281"
"Male","276"
"","557"
"Chepang",""
"Female","31"
"Male","29"
"","60"
"Chhantyal",""
"Female","26"
"Male","31"
"","57"
"Chinese",""
"Female","19"
"Male","31"
"","50"
"Danuwar",""
"Female","83"
"Male","114"
"","197"
"Darai",""
"Female","20"
"Male","15"
"","35"
"Dhimal",""
"Female","82"
"Male","79"
"","161"
"Doteli",""
"Female","457"
"Male","917"
"","1374"
"Dumi",""
"Female","29"
"Male","29"
"","58"
"Dura",""
"Female","6"
"Male","11"
"","17"
"English",""
"Female","199"
"Male","254"
"","453"
"French",""
"Female","5"
"Male","6"
"","11"
"Ghale",""
"Female","156"
"Male","136"
"","292"
"Gurung",""
"Female","6225"
"Male","5738"
"","11963"
"Hayu/Vayu",""
"Female","4"
"Male","12"
"","16"
"Hindi",""
"Female","6466"
"Male","11142"
"","17608"
"Hyolmo/Yholmo",""
"Female","281"
"Male","237"
"","518"
"Jirel",""
"Female","80"
"Male","100"
"","180"
"Khaling",""
"Female","40"
"Male","31"
"","71"
"Kham",""
"Female","18"
"Male","18"
"","36"
"Khash",""
"Female","7"
"Male","12"
"","19"
"Kulung",""
"Female","62"
"Male","80"
"","142"
"Kumal",""
"Female","34"
"Male","41"
"","75"
"Lapcha",""
"Female","8"
"Male","7"
"","15"
"Lhomi",""
"Female","8"
"Male","11"
"","19"
"Limbu",""
"Female","1629"
"Male","1645"
"","3274"
"Lohorung",""
"Female","9"
"Male","10"
"","19"
"Magahi",""
"Female","6"
"Male","11"
"","17"
"Magar",""
"Female","5295"
"Male","6024"
"","11319"
"Maithili",""
"Female","9328"
"Male","18193"
"","27521"
"Majhi",""
"Female","106"
"Male","103"
"","209"
"Manange",""
"Female","181"
"Male","184"
"","365"
"Nachhiring",""
"Female","10"
"Male","15"
"","25"
"Nepali",""
"Female","286699"
"Male","310871"
"","597570"
"Newar",""
"Female","93753"
"Male","91577"
"","185330"
"Not Reported",""
"Female","219"
"Male","270"
"","489"
"Oriya",""
"Female","98"
"Male","218"
"","316"
"Others",""
"Female","1108"
"Male","1139"
"","2247"
"Punjabi",""
"Female","33"
"Male","46"
"","79"
"Rai",""
"Female","3847"
"Male","3616"
"","7463"
"Rajbanshi",""
"Female","138"
"Male","214"
"","352"
"Rajsthani",""
"Female","2584"
"Male","2888"
"","5472"
"Sampang",""
"Female","18"
"Male","25"
"","43"
"Sanskrit",""
"Female","10"
"Male","25"
"","35"
"Santhali",""
"Female","22"
"Male","53"
"","75"
"Sherpa",""
"Female","5297"
"Male","4876"
"","10173"
"Sign Language",""
"Female","33"
"Male","56"
"","89"
"Sunuwar",""
"Female","533"
"Male","481"
"","1014"
"Tajpuriya",""
"Female","9"
"Male","17"
"","26"
"Tamang",""
"Female","26712"
"Male","27397"
"","54109"
"Thakali",""
"Female","419"
"Male","391"
"","810"
"Thami",""
"Female","102"
"Male","124"
"","226"
"Tharu",""
"Female","2445"
"Male","3887"
"","6332"
"Thulung",""
"Female","100"
"Male","110"
"","210"
"Tibetan",""
"Female","535"
"Male","498"
"","1033"
"Uranw/Urau",""
"Female","8"
"Male","18"
"","26"
"Urdu",""
"Female","1832"
"Male","3049"
"","4881"
"Wambule",""
"Female","30"
"Male","38"
"","68"
"Yakkha",""
"Female","54"
"Male","66"
"","120"
"Yamphu/Yamphe",""
"Female","3"
"Male","8"
"","11"
