"Population by Educational Attainment","Number"
"Beginners",""
"Female","355"
"Male","395"
"Graduate and Equivalent",""
"Female","67"
"Male","193"
"Intermediate and Equivalent",""
"Female","297"
"Male","486"
"Level not Stated",""
"Female","47"
"Male","41"
"Lower Secondary (Class 6-8)",""
"Female","1072"
"Male","1525"
"Non Formal Education",""
"Female","109"
"Male","74"
"Others",""
"Female","9"
"Male","9"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","84"
"Primary Education (1-5 Class)",""
"Female","2824"
"Male","3226"
"Secondary Level (Class 9-10)",""
"Female","564"
"Male","928"
"SLC and Equivalent",""
"Female","248"
"Male","486"
