"Population by disability type","Number"
"Blind/low vision",""
"Female","95"
"Male","96"
"","191"
"Deaf/hard of hearing",""
"Female","100"
"Male","87"
"","187"
"Deaf-Blind",""
"Female","15"
"Male","9"
"","24"
"Intellectual disable",""
"Female","18"
"Male","32"
"","50"
"Mental disable",""
"Female","39"
"Male","42"
"","81"
"Multiple disable",""
"Female","38"
"Male","40"
"","78"
"No disability",""
"Female","38540"
"Male","30645"
"","69185"
"Physical",""
"Female","172"
"Male","235"
"","407"
"Speech problem",""
"Female","58"
"Male","74"
"","132"
