"Population by disability type","Number"
"Blind/low vision",""
"Female","120"
"Male","111"
"","231"
"Deaf/hard of hearing",""
"Female","64"
"Male","50"
"","114"
"Deaf-Blind",""
"Female","10"
"Male","11"
"","21"
"Intellectual disable",""
"Female","10"
"Male","14"
"","24"
"Mental disable",""
"Female","21"
"Male","36"
"","57"
"Multiple disable",""
"Female","37"
"Male","46"
"","83"
"No disability",""
"Female","24082"
"Male","23014"
"","47096"
"Physical",""
"Female","104"
"Male","152"
"","256"
"Speech problem",""
"Female","48"
"Male","57"
"","105"
