"Population by disability type","Number"
"Blind/low vision",""
"Female","38"
"Male","58"
"","96"
"Deaf/hard of hearing",""
"Female","47"
"Male","65"
"","112"
"Deaf-Blind",""
"Female","2"
"Male","4"
"","6"
"Intellectual disable",""
"Female","6"
"Male","15"
"","21"
"Mental disable",""
"Female","19"
"Male","29"
"","48"
"Multiple disable",""
"Female","24"
"Male","26"
"","50"
"No disability",""
"Female","21924"
"Male","22580"
"","44504"
"Physical",""
"Female","66"
"Male","130"
"","196"
"Speech problem",""
"Female","60"
"Male","71"
"","131"
