"Population by disability type","Number"
"Blind/low vision",""
"Female","37"
"Male","38"
"","75"
"Deaf/hard of hearing",""
"Female","27"
"Male","34"
"","61"
"Deaf-Blind",""
"Female","1"
"Male","2"
"","3"
"Intellectual disable",""
"Female","3"
"Male","4"
"","7"
"Mental disable",""
"Female","12"
"Male","8"
"","20"
"Multiple disable",""
"Female","9"
"Male","9"
"","18"
"No disability",""
"Female","6553"
"Male","5581"
"","12134"
"Physical",""
"Female","82"
"Male","108"
"","190"
"Speech problem",""
"Female","15"
"Male","25"
"","40"
