"Population by Single Year of Age","Number"
"0",""
"Female","148"
"Male","150"
"1",""
"Female","146"
"Male","172"
"10",""
"Female","308"
"Male","289"
"11",""
"Female","285"
"Male","267"
"12",""
"Female","374"
"Male","339"
"13",""
"Female","345"
"Male","320"
"14",""
"Female","363"
"Male","329"
"15",""
"Female","380"
"Male","313"
"16",""
"Female","317"
"Male","277"
"17",""
"Female","283"
"Male","217"
"18",""
"Female","307"
"Male","175"
"19",""
"Female","197"
"Male","104"
"2",""
"Female","153"
"Male","162"
"20",""
"Female","205"
"Male","133"
"21",""
"Female","220"
"Male","106"
"22",""
"Female","192"
"Male","89"
"23",""
"Female","158"
"Male","67"
"24",""
"Female","165"
"Male","83"
"25",""
"Female","222"
"Male","91"
"26",""
"Female","160"
"Male","63"
"27",""
"Female","169"
"Male","76"
"28",""
"Female","166"
"Male","73"
"29",""
"Female","96"
"Male","55"
"3",""
"Female","185"
"Male","178"
"30",""
"Female","282"
"Male","95"
"31",""
"Female","79"
"Male","40"
"32",""
"Female","155"
"Male","70"
"33",""
"Female","97"
"Male","50"
"34",""
"Female","88"
"Male","43"
"35",""
"Female","376"
"Male","140"
"36",""
"Female","120"
"Male","48"
"37",""
"Female","111"
"Male","50"
"38",""
"Female","136"
"Male","85"
"39",""
"Female","78"
"Male","39"
"4",""
"Female","182"
"Male","211"
"40",""
"Female","330"
"Male","152"
"41",""
"Female","94"
"Male","70"
"42",""
"Female","139"
"Male","98"
"43",""
"Female","93"
"Male","60"
"44",""
"Female","86"
"Male","46"
"45",""
"Female","252"
"Male","182"
"46",""
"Female","94"
"Male","69"
"47",""
"Female","91"
"Male","68"
"48",""
"Female","106"
"Male","75"
"49",""
"Female","94"
"Male","70"
"5",""
"Female","211"
"Male","207"
"50",""
"Female","287"
"Male","220"
"51",""
"Female","86"
"Male","79"
"52",""
"Female","127"
"Male","116"
"53",""
"Female","79"
"Male","78"
"54",""
"Female","77"
"Male","88"
"55",""
"Female","157"
"Male","148"
"56",""
"Female","89"
"Male","87"
"57",""
"Female","73"
"Male","91"
"58",""
"Female","83"
"Male","71"
"59",""
"Female","54"
"Male","52"
"6",""
"Female","209"
"Male","228"
"60",""
"Female","228"
"Male","155"
"61",""
"Female","68"
"Male","66"
"62",""
"Female","75"
"Male","95"
"63",""
"Female","59"
"Male","45"
"64",""
"Female","41"
"Male","50"
"65",""
"Female","150"
"Male","111"
"66",""
"Female","39"
"Male","45"
"67",""
"Female","62"
"Male","63"
"68",""
"Female","59"
"Male","65"
"69",""
"Female","28"
"Male","31"
"7",""
"Female","258"
"Male","224"
"70",""
"Female","162"
"Male","107"
"71",""
"Female","38"
"Male","36"
"72",""
"Female","55"
"Male","52"
"73",""
"Female","33"
"Male","49"
"74",""
"Female","24"
"Male","37"
"75",""
"Female","108"
"Male","84"
"76",""
"Female","31"
"Male","28"
"77",""
"Female","34"
"Male","30"
"78",""
"Female","46"
"Male","57"
"79",""
"Female","14"
"Male","18"
"8",""
"Female","263"
"Male","269"
"80",""
"Female","62"
"Male","36"
"81",""
"Female","17"
"Male","17"
"82",""
"Female","14"
"Male","27"
"83",""
"Female","18"
"Male","19"
"84",""
"Female","22"
"Male","14"
"85",""
"Female","109"
"Male","79"
"9",""
"Female","261"
"Male","253"
