"Population by Educational Attainment","Number"
"Beginners",""
"Female","542"
"Male","668"
"Graduate and Equivalent",""
"Female","565"
"Male","917"
"Intermediate and Equivalent",""
"Female","1868"
"Male","2150"
"Level not Stated",""
"Female","233"
"Male","199"
"Lower Secondary (Class 6-8)",""
"Female","4436"
"Male","4284"
"Non Formal Education",""
"Female","1435"
"Male","1143"
"Others",""
"Female","9"
"Male","16"
"Post Graduate Equivalent and Above",""
"Female","91"
"Male","346"
"Primary Education (1-5 Class)",""
"Female","6721"
"Male","7510"
"Secondary Level (Class 9-10)",""
"Female","2848"
"Male","2659"
"SLC and Equivalent",""
"Female","2615"
"Male","2918"
