"Population by Educational Attainment","Number"
"Beginners",""
"Female","21"
"Male","22"
"Graduate and Equivalent",""
"Female","34"
"Male","136"
"Intermediate and Equivalent",""
"Female","79"
"Male","286"
"Level not Stated",""
"Female","29"
"Male","43"
"Lower Secondary (Class 6-8)",""
"Female","595"
"Male","1101"
"Non Formal Education",""
"Female","21"
"Male","43"
"Others",""
"Female","1"
"Male","11"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","31"
"Primary Education (1-5 Class)",""
"Female","1967"
"Male","2749"
"Secondary Level (Class 9-10)",""
"Female","199"
"Male","545"
"SLC and Equivalent",""
"Female","191"
"Male","491"
