"Population by disability type","Number"
"Blind/low vision",""
"Female","43"
"Male","44"
"","87"
"Deaf/hard of hearing",""
"Female","16"
"Male","31"
"","47"
"Deaf-Blind",""
"Female","4"
"Male","2"
"","6"
"Intellectual disable",""
"Female","3"
"Male","4"
"","7"
"Mental disable",""
"Female","14"
"Male","28"
"","42"
"Multiple disable",""
"Female","16"
"Male","19"
"","35"
"No disability",""
"Female","23659"
"Male","23447"
"","47106"
"Physical",""
"Female","58"
"Male","121"
"","179"
"Speech problem",""
"Female","22"
"Male","34"
"","56"
