"Population by disability type","Number"
"Blind/low vision",""
"Female","41"
"Male","37"
"","78"
"Deaf/hard of hearing",""
"Female","105"
"Male","120"
"","225"
"Deaf-Blind",""
"Female","8"
"Male","7"
"","15"
"Intellectual disable",""
"Female","12"
"Male","20"
"","32"
"Mental disable",""
"Female","27"
"Male","28"
"","55"
"Multiple disable",""
"Female","60"
"Male","73"
"","133"
"No disability",""
"Female","11019"
"Male","9587"
"","20606"
"Physical",""
"Female","97"
"Male","125"
"","222"
"Speech problem",""
"Female","78"
"Male","92"
"","170"
