"Population by Educational Attainment","Number"
"Beginners",""
"Female","144"
"Male","178"
"Graduate and Equivalent",""
"Female","20"
"Male","51"
"Intermediate and Equivalent",""
"Female","87"
"Male","150"
"Level not Stated",""
"Female","43"
"Male","58"
"Lower Secondary (Class 6-8)",""
"Female","722"
"Male","1099"
"Non Formal Education",""
"Female","116"
"Male","172"
"Others",""
"Female","4"
"Male","12"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","14"
"Primary Education (1-5 Class)",""
"Female","2180"
"Male","2829"
"Secondary Level (Class 9-10)",""
"Female","278"
"Male","412"
"SLC and Equivalent",""
"Female","164"
"Male","304"
