"Population by Educational Attainment","Number"
"Beginners",""
"Female","960"
"Male","1068"
"Graduate and Equivalent",""
"Female","753"
"Male","1369"
"Intermediate and Equivalent",""
"Female","2353"
"Male","2735"
"Level not Stated",""
"Female","88"
"Male","83"
"Lower Secondary (Class 6-8)",""
"Female","5716"
"Male","5220"
"Non Formal Education",""
"Female","1402"
"Male","1309"
"Others",""
"Female","0"
"Male","0"
"Post Graduate Equivalent and Above",""
"Female","165"
"Male","563"
"Primary Education (1-5 Class)",""
"Female","7375"
"Male","7620"
"Secondary Level (Class 9-10)",""
"Female","5074"
"Male","4391"
"SLC and Equivalent",""
"Female","4634"
"Male","4272"
