"Population by disability type","Number"
"Blind/low vision",""
"Female","41"
"Male","39"
"","80"
"Deaf/hard of hearing",""
"Female","26"
"Male","49"
"","75"
"Deaf-Blind",""
"Female","1"
"Male","1"
"","2"
"Intellectual disable",""
"Female","5"
"Male","4"
"","9"
"Mental disable",""
"Female","7"
"Male","8"
"","15"
"Multiple disable",""
"Female","19"
"Male","12"
"","31"
"No disability",""
"Female","8426"
"Male","7213"
"","15639"
"Physical",""
"Female","57"
"Male","86"
"","143"
"Speech problem",""
"Female","18"
"Male","22"
"","40"
