"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","42"
"Male","51"
"Brahman - Hill",""
"Female","5274"
"Male","4500"
"Brahman - Tarai",""
"Female","41"
"Male","35"
"Chhetri",""
"Female","4162"
"Male","3409"
"Damai/Dholi",""
"Female","851"
"Male","715"
"Gaine",""
"Female","64"
"Male","55"
"Gharti/Bhujel",""
"Female","348"
"Male","310"
"Gurung",""
"Female","321"
"Male","302"
"Halwai",""
"Female","9"
"Male","7"
"Kami",""
"Female","2588"
"Male","2188"
"Kathabaniyan",""
"Female","8"
"Male","8"
"Kumal",""
"Female","539"
"Male","486"
"Magar",""
"Female","7474"
"Male","6458"
"Majhi",""
"Female","13"
"Male","8"
"Musalman",""
"Female","14"
"Male","21"
"Newar",""
"Female","195"
"Male","160"
"Others",""
"Female","32"
"Male","21"
"Sanyasi/Dasnami",""
"Female","105"
"Male","86"
"Sarki",""
"Female","1247"
"Male","1084"
"Terai Others",""
"Female","8"
"Male","6"
"Thakuri",""
"Female","55"
"Male","39"
"Tharu",""
"Female","14"
"Male","20"
