"Industries Employment","Number"
"Accommodation,  food",""
"Female","365"
"Male","408"
"Administrative, support service",""
"Female","2"
"Male","37"
"Agriculture, forestry and  fishing",""
"Female","61"
"Male","109"
"Arts, entertainment, recreation",""
"Female","0"
"Male","0"
"Construction",""
"Female","6"
"Male","18"
"Education",""
"Female","272"
"Male","812"
"Electricity, gas and water",""
"Female","5"
"Male","45"
"Financial intermediation and insurance",""
"Female","88"
"Male","154"
"Health, social work",""
"Female","259"
"Male","352"
"Information and communication",""
"Female","2"
"Male","24"
"Manufacturing",""
"Female","275"
"Male","744"
"Other service activities",""
"Female","85"
"Male","249"
"Professional, scientific, techniqual activity",""
"Female","1"
"Male","10"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","24"
"Male","85"
"Water supply, wet management",""
"Female","3"
"Male","26"
"Wholesale, retail trade",""
"Female","539"
"Male","679"
