"Industries Types","Number"
"Accommodation and food","883"
"Administrative and support service activity","32"
"Agriculture, forestry and fishing","612"
"Art, entertainment and recreation","28"
"Construction","13"
"Education","657"
"Electricty gas and water","70"
"Financial intermediation and insurance","201"
"Health and social work","291"
"Information and communications","23"
"Manufacturing","1173"
"Mining and quarrying","37"
"Other service activities","459"
"Professional,scientific and techniqual activity","56"
"Real state, renting and business activities","0"
"Transport and storage","53"
"Water supply, wet management","19"
"Wholesale and retail trade","4316"
"Total","8923"
